0.4056 0.9529 0.1519 0.0206	、= …
0.0167 0.8588 0.0611 0.0235	● 録音中
0.0815 0.8587 0.0537 0.0238	00:02
0.6944 0.7794 0.0815 0.0265	=文字起こし
0.7981 0.7794 0.1093 0.0265	国翻訳回 字幕
0.0407 0.7500 0.1296 0.0353	14:50の会議
0.0444 0.6882 0.0981 0.0206	＝・聞いています...
0.6944 0.7147 0.1000 0.0206	まだ発話がありません。
0.0426 0.6117 0.0630 0.0208	決まったこと
0.0407 0.5735 0.2481 0.0265	00:12 田中導入時期は10月で行きます
0.0425 0.5262 0.0427 0.0183	やること
0.0426 0.4882 0.2741 0.0235	08:31 あなた見積は明日までにお願いします
0.7111 0.2206 0.0907 0.0176	*リアルタイム要約
0.7315 0.1645 0.0519 0.0181	② 決定事項
0.8796 0.2206 0.0556 0.0176	日 質問する
0.8759 0.1647 0.0630 0.0176	◎ アクション
0.0352 0.1059 0.1389 0.0235	*この会議について聞く
0.9481 0.1059 0.0111 0.0206	k
0.4481 0.0324 0.1056 0.0206	2N AIが見ている資料
