0.3907 0.9529 0.1648 0.0206	・== …
0.0185 0.8647 0.0185 0.0147	●
0.0389 0.8588 0.0389 0.0235	録音中
0.0815 0.8587 0.0519 0.0237	08:03
0.6944 0.7794 0.0815 0.0265	=文字起こし
0.7963 0.7794 0.0481 0.0235	国翻訳
0.8630 0.7794 0.0444 0.0265	回字幕
0.0407 0.7471 0.1315 0.0382	02:38 の会議
0.0444 0.7176 0.1111 0.0176	4 音が届いていません
0.0426 0.6618 0.2130 0.0235	Ken Windows は次の周で追います。
0.6925 0.7171 0.0335 0.0159	10:38
0.7241 0.7147 0.0407 0.0176	Sarah
0.6926 0.6853 0.0315 0.0147	18:42
0.6907 0.6559 0.0333 0.0147	18:55
0.7315 0.6853 0.0222 0.0147	Ken
0.7296 0.6529 0.0241 0.0206	Ken
0.7815 0.7118 0.1407 0.0235	Windows はいつ出しますか。
0.7815 0.6853 0.1130 0.0176	macOS を先に出します
0.7815 0.6500 0.1519 0.0235	Windows は次の間で追います。
0.0426 0.5850 0.0630 0.0212	決まったこと
0.0426 0.5500 0.1685 0.0206	決まったことを待っています…..
0.0425 0.5026 0.0427 0.0183	やること
0.0426 0.4647 0.1444 0.0235	やることを待っています...
0.0426 0.4206 0.0222 0.0147	メモ
0.0426 0.3824 0.0333 0.0147	18:42
0.0833 0.3824 0.1815 0.0206	Ken macOS を先に出します
0.0852 0.3500 0.0963 0.0176	Ken・10:42・出所＞
0.0519 0.3029 0.0389 0.0147	18:30
0.0907 0.3025 0.0335 0.0155	Sarah
0.0519 0.2735 0.0667 0.0147	18:42 Ken
0.0519 0.2441 0.0667 0.0147	18:55 Ken
0.1407 0.3000 0.1389 0.0206	Windows はいつ出しますか。
0.1407 0.2735 0.1130 0.0176	macOS を先に出します
0.1407 0.2412 0.1500 0.0206	Windows は次の間で追います。
0.0630 0.2029 0.0204 0.0147	直す
0.1093 0.2029 0.0500 0.0176	これは違う
0.7111 0.2206 0.0907 0.0176	*リアルタイム要約
0.8796 0.2206 0.0556 0.0176	日 質問する
0.7296 0.1645 0.0537 0.0180	◎ 決定事項
0.0407 0.1441 0.2611 0.0206	1.2^2...！オンボージノングた試作オス
0.0352 0.1059 0.1389 0.0206	+ この会議について聞く
0.8759 0.1647 0.0630 0.0176	◎ アクション
0.9481 0.1059 0.0111 0.0206	k
0.4037 0.0324 0.1944 0.0206	ull AIが見ている資料ーまだありません
